Description,Category
Bi-weekly Bakery,Food
Paid for Toll fee (shared),Transport
Expense: Dinner meal - urgent,Food
Monthly Doctor consultation - urgent,Health
Bought Metro card recharge - urgent,Transport
Bought Tuition,Education
Netflix subscription - urgent,Entertainment
Bi-weekly Subway ticket,Transport
Bi-weekly Board game online,Entertainment
Paid for Bike repair (shared),Transport
Bought Vitamins online,Health
Monthly Amusement park - urgent,Entertainment
Paid for Exam registration fee (shared),Education
Paid for Bus ticket,Transport
Expense: Bowling (shared),Entertainment
Bought Petrol locally,Transport
Expense: Stationery online,Education
Weekly Pharmacy online,Health
Bought Pizza (shared),Food
Expense: Board game online,Entertainment
Monthly Board game,Entertainment
Coursera subscription (shared),Education
Monthly Donation online,Others
Notebooks,Education
Bought Amazon Prime,Entertainment
Monthly Theater (shared),Entertainment
Monthly Bandages and first aid online,Health
Bandages and first aid online,Health
Bi-weekly Snacks online,Food
Bought Video game online,Entertainment
Bought Bus ticket - urgent,Transport
Shoes (shared),Shopping
Weekly Gym membership (shared),Health
Weekly Fruits online,Food
Bi-weekly Exam registration fee,Education
Expense: Laundry (shared),Others
Monthly Medicines online,Health
Expense: Snacks locally,Food
Paid for Train fare - urgent,Transport
Starbucks,Food
Weekly Charity locally,Others
Expense: Subway - urgent,Food
Bi-weekly Medical tests locally,Health
Video game - urgent,Entertainment
Bought Clothing - urgent,Shopping
Gas - urgent,Transport
Taxi,Transport
Amusement park (shared),Entertainment
Weekly Notebooks online,Education
Paid for Electricity bill online,Bills
Paid for Charity online,Others
Bought Bus ticket online,Transport
Weekly Netflix subscription,Entertainment
Monthly Hospital bill (shared),Health
Weekly Internet bill online,Bills
Expense: Tuition - urgent,Education
Bought Theater (shared),Entertainment
Weekly Board game - urgent,Entertainment
Expense: Hospital bill locally,Health
Paid for Subway ticket - urgent,Transport
Car maintenance,Transport
Expense: Medicines online,Health
Expense: College fees,Education
Bought Medicines - urgent,Health
Weekly Pizza online,Food
Monthly Notebooks (shared),Education
Expense: Music festival online,Entertainment
Parking ticket,Transport
Weekly Medicines - urgent,Health
Expense: Steam purchase (shared),Entertainment
Weekly Phone bill - urgent,Bills
Expense: Coursera subscription (shared),Education
Bought Charity (shared),Others
Bi-weekly Tuition (shared),Education
Weekly Groceries online,Food
Weekly Snacks (shared),Food
Bi-weekly Dentist - urgent,Health
Paid for Video game,Entertainment
Paid for Petrol (shared),Transport
Expense: Medical tests locally,Health
Paid for College fees - urgent,Education
Bi-weekly Medicines (shared),Health
Bi-weekly Board game,Entertainment
Bi-weekly Subway locally,Food
Paid for Metro card recharge,Transport
Weekly Shoes (shared),Shopping
Bought Plumbing repair - urgent,Others
Monthly Medicines,Health
Bought Online course - urgent,Education
Bought Taxi online,Transport
Monthly Doctor consultation (shared),Health
Weekly Udemy course,Education
Museum entry - urgent,Entertainment
Monthly Haircut - urgent,Others
Gym membership locally,Health
Paid for Bakery locally,Food
Weekly Tacos (shared),Food
KFC locally,Food
Paid for Coursera subscription (shared),Education
Paid for Bus ticket locally,Transport
Weekly Ice cream,Food
Expense: Laundry online,Others
Expense: Train fare online,Transport
Weekly Amusement park - urgent,Entertainment
Bi-weekly Notebooks (shared),Education
Bi-weekly Bus ticket (shared),Transport
Library fee - urgent,Education
Monthly Bakery online,Food
Bought Steam purchase - urgent,Entertainment
Bi-weekly Medicines locally,Health
Weekly Exam registration fee (shared),Education
Paid for Taxi - urgent,Transport
Weekly Metro card recharge online,Transport
Paid for Stationery,Education
Paid for Burger (shared),Food
Monthly Udemy course (shared),Education
Weekly Bandages and first aid locally,Health
Weekly Furniture - urgent,Shopping
Expense: Concert ticket,Entertainment
Paid for Ferry ticket locally,Transport
Expense: Stationery - urgent,Education
Weekly Medicines (shared),Health
Bi-weekly Tuition locally,Education
Weekly Music festival (shared),Entertainment
Medical tests locally,Health
Bi-weekly Vitamins (shared),Health
Expense: Parking ticket,Transport
Bandages and first aid - urgent,Health
Paid for Pizza online,Food
Monthly Doctor consultation,Health
Paid for Udemy course,Education
Paid for Doctor consultation (shared),Health
Petrol (shared),Transport
Snacks,Food
Paid for Subway ticket locally,Transport
Monthly Pet food (shared),Others
Paid for School supplies - urgent,Education
Expense: Metro card recharge,Transport
Bought Coffee locally,Food
Paid for KFC,Food
Weekly Taxi (shared),Transport
Bi-weekly Clothing - urgent,Shopping
Eye checkup locally,Health
Parking ticket online,Transport
Monthly Bike repair (shared),Transport
Paid for Fruits (shared),Food
Monthly Stationery (shared),Education
Expense: Textbooks locally,Education
Weekly Board game locally,Entertainment
Bought Eye checkup,Health
Monthly Parking ticket,Transport
Weekly Uber ride online,Transport
Bi-weekly Exam registration fee locally,Education
Weekly Bowling locally,Entertainment
Expense: Music festival (shared),Entertainment
Expense: Shopping (shared),Shopping
Weekly Starbucks - urgent,Food
Bought Dry cleaning (shared),Others
Health insurance premium,Health
Paid for Eye checkup - urgent,Health
Paid for Gym membership online,Health
Bought Subway,Food
Fruits,Food
Electronics online,Shopping
Monthly Bakery - urgent,Food
Bi-weekly Car maintenance locally,Transport
Bought Online course (shared),Education
Paid for Bakery (shared),Food
Bought Burger locally,Food
Flight booking locally,Travel
Clothing online,Shopping
Weekly Starbucks online,Food
Bought Parking ticket locally,Transport
Monthly Medicines (shared),Health
Paid for Internet bill (shared),Bills
Bi-weekly Dinner meal online,Food
Bought Eye checkup online,Health
Gym membership,Health
Bi-weekly Flight booking locally,Travel
Bought Laundry - urgent,Others
Monthly Bandages and first aid (shared),Health
Bought Textbooks locally,Education
Bi-weekly Metro card recharge - urgent,Transport
Bi-weekly Library fee online,Education
Bought Car maintenance - urgent,Transport
Groceries online,Food
Expense: Textbooks - urgent,Education
Monthly Dinner meal (shared),Food
Bi-weekly Tuition locally,Education
Bi-weekly Music festival,Entertainment
Weekly Medicines (shared),Health
Expense: Concert ticket - urgent,Entertainment
